,Site,Species,ReadingDateTime,Value,Units,Provisional or Ratified
0,BG1,SO2,2020-01-01 00:00:00,,ppb,R
1,BG1,SO2,2020-01-01 01:00:00,0.4,ppb,R
2,BG1,SO2,2020-01-01 02:00:00,0.8,ppb,R
3,BG1,SO2,2020-01-01 03:00:00,1.1,ppb,R
4,BG1,SO2,2020-01-01 04:00:00,1.1,ppb,R
5,BG1,SO2,2020-01-01 05:00:00,1.3,ppb,R
6,BG1,SO2,2020-01-01 06:00:00,1.1,ppb,R
7,BG1,SO2,2020-01-01 07:00:00,1.3,ppb,R
8,BG1,SO2,2020-01-01 08:00:00,0.8,ppb,R
9,BG1,SO2,2020-01-01 09:00:00,1.1,ppb,R
10,BG1,SO2,2020-01-01 10:00:00,1.1,ppb,R
11,BG1,SO2,2020-01-01 11:00:00,0.8,ppb,R
12,BG1,SO2,2020-01-01 12:00:00,0.8,ppb,R
13,BG1,SO2,2020-01-01 13:00:00,0.8,ppb,R
14,BG1,SO2,2020-01-01 14:00:00,1.1,ppb,R
15,BG1,SO2,2020-01-01 15:00:00,1.1,ppb,R
16,BG1,SO2,2020-01-01 16:00:00,0.5,ppb,R
17,BG1,SO2,2020-01-01 17:00:00,0.5,ppb,R
18,BG1,SO2,2020-01-01 18:00:00,0.5,ppb,R
19,BG1,SO2,2020-01-01 19:00:00,0.5,ppb,R
20,BG1,SO2,2020-01-01 20:00:00,1.1,ppb,R
21,BG1,SO2,2020-01-01 21:00:00,1.1,ppb,R
22,BG1,SO2,2020-01-01 22:00:00,0.3,ppb,R
23,BG1,SO2,2020-01-01 23:00:00,0.8,ppb,R
24,BG1,SO2,2020-02-01 00:00:00,1.1,ppb,R
25,BG1,SO2,2020-02-01 01:00:00,1.1,ppb,R
26,BG1,SO2,2020-02-01 02:00:00,1.1,ppb,R
27,BG1,SO2,2020-02-01 03:00:00,0.3,ppb,R
28,BG1,SO2,2020-02-01 04:00:00,0.5,ppb,R
29,BG1,SO2,2020-02-01 05:00:00,0.5,ppb,R
30,BG1,SO2,2020-02-01 06:00:00,0.5,ppb,R
31,BG1,SO2,2020-02-01 07:00:00,0.8,ppb,R
32,BG1,SO2,2020-02-01 08:00:00,0.3,ppb,R
33,BG1,SO2,2020-02-01 09:00:00,1.1,ppb,R
34,BG1,SO2,2020-02-01 10:00:00,0.8,ppb,R
35,BG1,SO2,2020-02-01 11:00:00,0.5,ppb,R
36,BG1,SO2,2020-02-01 12:00:00,0.3,ppb,R
37,BG1,SO2,2020-02-01 13:00:00,0.5,ppb,R
38,BG1,SO2,2020-02-01 14:00:00,0.8,ppb,R
39,BG1,SO2,2020-02-01 15:00:00,0.5,ppb,R
40,BG1,SO2,2020-02-01 16:00:00,0.8,ppb,R
41,BG1,SO2,2020-02-01 17:00:00,0.0,ppb,R
42,BG1,SO2,2020-02-01 18:00:00,0.8,ppb,R
43,BG1,SO2,2020-02-01 19:00:00,0.8,ppb,R
44,BG1,SO2,2020-02-01 20:00:00,0.8,ppb,R
45,BG1,SO2,2020-02-01 21:00:00,0.3,ppb,R
46,BG1,SO2,2020-02-01 22:00:00,0.8,ppb,R
47,BG1,SO2,2020-02-01 23:00:00,0.5,ppb,R
48,BG1,SO2,2020-03-01 00:00:00,1.1,ppb,R
49,BG1,SO2,2020-03-01 01:00:00,0.7,ppb,R
50,BG1,SO2,2020-03-01 02:00:00,0.3,ppb,R
51,BG1,SO2,2020-03-01 03:00:00,0.5,ppb,R
52,BG1,SO2,2020-03-01 04:00:00,1.3,ppb,R
53,BG1,SO2,2020-03-01 05:00:00,0.5,ppb,R
54,BG1,SO2,2020-03-01 06:00:00,0.3,ppb,R
55,BG1,SO2,2020-03-01 07:00:00,1.1,ppb,R
